idDip,urlPerf,fullName,apellido,nombre,estado,bloque,provincia,afirmativos,negativos,abstenciones,ausencias,presidencias
A50768,https://votaciones.hcdn.gob.ar/diputado/1722,". NO INCORPORADO, Legislador 1",. NO INCORPORADO, Legislador 1,-,Justicialista por Tucumán,Tucumán,-,-,-,27,-
A50774,https://votaciones.hcdn.gob.ar/diputado/1719,". NO INCORPORADO, Legislador 2",. NO INCORPORADO, Legislador 2,-,PRO,C.A.B.A.,-,-,-,36,-
A4068,https://votaciones.hcdn.gob.ar/diputado/596,"ABALOS, Roberto José",ABALOS, Roberto José,-,Unión Cívica Radical,Santiago del Estero,61,96,6,50,-
G344,https://votaciones.hcdn.gob.ar/diputado/1531,"ABALOVICH, Eduardo Antonio",ABALOVICH, Eduardo Antonio,-,Unión Cívica Radical,Santiago del Estero,41,33,4,22,-
G309,https://votaciones.hcdn.gob.ar/diputado/1496,"ABAN, Gloria del S.",ABAN, Gloria del S.,-,Justicialista,Salta,58,23,2,17,-
A2965,https://votaciones.hcdn.gob.ar/diputado/597,"ABASTO, Angel Leonidas",ABASTO, Angel Leonidas,-,Justicialista,Buenos Aires,121,52,-,108,-
G13,https://votaciones.hcdn.gob.ar/diputado/1197,"ABDALA, Germán Darío",ABDALA, Germán Darío,-,Mov. Peronista,Capital Federal,1,-,-,5,-
A4313,https://votaciones.hcdn.gob.ar/diputado/598,"ABDALA, Josefina",ABDALA, Josefina,-,Unión Cívica Radical,Mendoza,261,139,14,284,-
A4759,https://votaciones.hcdn.gob.ar/diputado/395,"ABDALA DE MATARAZZO, Norma Amanda",ABDALA DE MATARAZZO, Norma Amanda,En actividad,Frente de Todos,Santiago del Estero,741,53,5,155,102
A3252,https://votaciones.hcdn.gob.ar/diputado/599,"ABELLA, Miguel Angel",ABELLA, Miguel Angel,-,Unión Cívica Radical,Córdoba,67,31,5,14,-
G230,https://votaciones.hcdn.gob.ar/diputado/1414,"ABIHAGGLE, Carlos Enrique",ABIHAGGLE, Carlos Enrique,-,Justicialista,Mendoza,78,6,1,54,-
A50842,https://votaciones.hcdn.gob.ar/diputado/166,"ABRAHAM, Alejandro",ABRAHAM, Alejandro,-,Frente para la Victoria - PJ,Mendoza,328,126,5,32,-
A4484,https://votaciones.hcdn.gob.ar/diputado/600,"ACCASTELLO, Eduardo",ACCASTELLO, Eduardo,-,Frente para la Victoria - PJ,Córdoba,275,16,14,261,-
A4069,https://votaciones.hcdn.gob.ar/diputado/601,"ACCAVALLO, Julio César",ACCAVALLO, Julio César,-,Encuentro,Rio Negro,104,41,18,50,-
G14,https://votaciones.hcdn.gob.ar/diputado/1198,"ACEÑOLAZA, Florencio G.",ACEÑOLAZA, Florencio G.,-,Justicialista,Tucumán,76,11,-,24,-
A50902,https://votaciones.hcdn.gob.ar/diputado/572,"ACERENZA, Samanta María Celeste",ACERENZA, Samanta María Celeste,-,PRO,Buenos Aires,340,91,3,86,-
A4070,https://votaciones.hcdn.gob.ar/diputado/602,"ACEVEDO, Sergio Edgardo",ACEVEDO, Sergio Edgardo,-,Justicialista,Santa Cruz,83,17,10,47,-
G125,https://votaciones.hcdn.gob.ar/diputado/1309,"ACHEM, Antonio",ACHEM, Antonio,-,Cruzada Renovadora,Capital Federal,27,31,4,49,-
A4590,https://votaciones.hcdn.gob.ar/diputado/398,"ACOSTA, María Julia",ACOSTA, María Julia,-,Frente para la Victoria - PJ,Catamarca,310,30,2,24,-
A4568,https://votaciones.hcdn.gob.ar/diputado/603,"ACUÑA, Hugo Rodolfo",ACUÑA, Hugo Rodolfo,-,Movimiento Popular Neuquino,Neuquén,390,73,11,170,-
